Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Days in Stock,Cert.,Photos,Warranty Type
170562,Ram,1500,TRX Final Edition,2024,Intercooled Supercharger Premium Unleaded V-8 6.2 L/376,Automatic,White,"6,525",1C6SRFU9XRN170562,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,43,No,Yes,BOF
237034,Ram,1500,Longhorn 4WD,2018,Intercooled Turbo Diesel V-6 3.0 L/182,Automatic,White,"60,445",1C6RR7PM0JS237034,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,"1,584",No,Yes,AS-IS
298736,Ram,1500,Laramie,2016,Regular Unleaded V-6 3.6 L/220,Automatic,Red,"211,356",1C6RR7NGXGS298736,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,"2,151",No,Yes,AS-IS
311829,Ram,3500,Laramie 4X4 Crew Cab,2022,Intercooled Turbo Diesel I-6 6.7 L/408,Automatic,Blue,"62,346",3C63RRJL6NG311829,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,827,No,Yes,BOF
519258,Ram,2500,Laramie 4WD,2023,Intercooled Turbo Diesel I-6 6.7 L/408,Automatic,White,"4,689",3C6UR5FL9PG519258,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,370,No,Yes,BOF
557452,Ram,1500,Big Horn 4WD,2023,Gas/Electric V-6 3.6 L/220,Automatic,Blue,"21,644",1C6RRFBG3PN557452,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,134,No,Yes,BOF
588868,Ram,1500,Laramie 4WD,2021,Regular Unleaded V-8 5.7 L/345,Automatic,White,"94,933",1C6SRFJT8MN588868,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,56,No,Yes,AS-IS
740121,Ram,1500,Big Horn 4WD,2021,Regular Unleaded V-8 5.7 L/345,Automatic,Red,"16,508",1C6SRFBT5MN740121,Power door locks|Power windows|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,84,No,Yes,BOF
834344,Ram,1500,Rebel 4WD Crew Cab,2021,Regular Unleaded V-8 5.7 L/345,Automatic,Red,"43,828",1C6SRFLT4MN834344,Power door locks|Power windows|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,77,No,Yes,BOF
107332,Saturn,Sky,,2007,Gas I4 2.4L/145,Manual,Silver,"18,734",1G8MB35B37Y107332,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,51,No,Yes,AS-IS
120858,Saturn,Sky,,2008,Gas I4 2.4L/145,Automatic,Silver,"51,848",1G8MC35B98Y120858,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,51,No,Yes,AS-IS
506881,Subaru,Forester,Sport,2019,Regular Unleaded H-4 2.5 L/152,Variable,Blue,"80,618",JF2SKAKC3KH506881,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,51,No,Yes,AS-IS
891805,Subaru,Crosstrek,Premium,2024,Regular Unleaded H-4 2.0 L/122,Variable,Red,"6,245",JF2GUADC5RH891805,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,41,No,Yes,BOF
000233,Toyota,Land Cruiser,First Edition 4WD,2024,Intercooled Turbo Gas/Electric I-4 2.4 L/146,Automatic,Tan,"11,227",JTEABFAJ2RK000233,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,119,No,Yes,BOF
004877,Toyota,Tacoma 4WD,Trail Hunter,2024,Intercooled Turbo Gas/Electric I-4 2.4 L/146,Automatic,,"20,487",3TYLF5LNXRT004877,Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,10,No,Yes,BOF
051687,Toyota,Tacoma 4WD,SR5,2024,Intercooled Turbo Regular Unleaded I-4 2.4 L/146,Automatic,Black,"8,803",3TYLB5JN0RT051687,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,71,No,Yes,BOF
098195,Toyota,RAV4,Adventure,2020,Regular Unleaded I-4 2.5 L/152,Automatic,Gray,"103,963",2T3J1RFV9LC098195,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,56,No,Yes,AS-IS
118079,Toyota,Tundra 4WD,SR5 4WD,2023,Twin Turbo Regular Unleaded V-6 3.4 L/210,Automatic,Black,"26,604",5TFLA5DB7PX118079,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,154,No,Yes,BOF
143406,Toyota,Highlander,,2015,Regular Unleaded V-6 3.5 L/211,Automatic,,"191,150",5TDDKRFH2FS143406,Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,41,No,Yes,AS-IS
144074,Toyota,RAV4,XLE,2021,Regular Unleaded I-4 2.5 L/152,Automatic,Silver,"101,880",2T3P1RFV4MC144074,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,56,No,Yes,AS-IS
173171,Toyota,Corolla Hatchback,SE,2022,Regular Unleaded I-4 2.0 L/121,Variable,,"57,577",JTND4MBE2N3173171,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,49,No,Yes,BOF
191683,Toyota,4Runner,SR5,2019,Regular Unleaded V-6 4.0 L/241,Automatic,,"90,956",JTEZU5JR9K5191683,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,37,No,Yes,AS-IS
197019,Toyota,Tacoma 2WD,SR5,2023,Regular Unleaded V-6 3.5 L/211,Automatic,,"17,453",3TMAZ5CN8PM197019,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,41,No,Yes,BOF
284086,Toyota,4Runner,TRD Offroad 4WD,2024,Regular Unleaded V-6 4.0 L/241,Automatic,Silver,"30,371",JTEPU5JR2R6284086,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,64,No,Yes,BOF
308080,Toyota,RAV4,XLE,2024,Regular Unleaded I-4 2.5 L/152,Automatic,,0,2T3W1RFV7RW308080,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,2,No,Yes,BOF
556353,Toyota,4Runner,Limited,2018,Regular Unleaded V-6 4.0 L/241,Automatic,,"112,987",JTEBU5JR6J5556353,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,37,No,Yes,AS-IS
565349,Toyota,Tacoma 4WD,SR5,2023,Regular Unleaded V-6 3.5 L/211,Automatic,Silver,"37,561",3TMCZ5AN2PM565349,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,83,No,Yes,BOF
801243,Toyota,Camry,XSE,2023,Regular Unleaded I-4 2.5 L/152,Automatic,,"51,575",4T1K61AK3PU801243,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,52,No,Yes,BOF
034709,Volkswagen,Tiguan,,2024,Intercooled Turbo Regular Unleaded I-4 2.0 L/121,Automatic,,"3,686",3VV4B7AX0RM034709,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,288,No,Yes,BOF
320520,Volvo,XC60 Recharge Plug-In Hybrid,,2023,Intercooled Turbo Gas/Electric I-4 2.0 L/120,Automatic,White,"32,325",YV4H60DW0P1320520,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,58,No,Yes,BOF

